MANDATORY INFORMATION,,,,ADDITIONAL INFORMATION,
TAGNAME,GRAPHIC OBJECT,DESTINATION GRAPHIC DISPLAY,LAYER,PID NUMBER,LOCATION
@begin
DRAIN11,OUTLET BL,H2143_DetailedDisplay,BL,2116_H2143,80
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
BAGGING11,OUTLET BL,H2143_DetailedDisplay,BL,2151_H2143,83
TRUCK11,OUTLET BL,H2143_DetailedDisplay,BL,2151_H2143,84
HPLDPEBR,INLET BL,H3110_DetailedDisplay,BL,3110_H3111,85
Air1,INLET BL,H3110_DetailedDisplay,BL,3110_H3111,86
HDLDPECB,INLET BL,H3110_DetailedDisplay,BL,3110_H3111,87
PurgeAir1,INLET BL,H3110_DetailedDisplay,BL,3110_H3111,88
DemineralisedWater1,INLET BL,H3110_DetailedDisplay,BL,3110_H3111,89
DRAIN12,OUTLET BL,H3110_DetailedDisplay,BL,3110_H3111,90
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
InstrumentAir,INLET BL,H3110_DetailedDisplay,BL,3310_H3111,97
AIR_FR_ATM3,INLET BL,H3110_DetailedDisplay,BL,3310_H3111,98
Bagging,OUTLET BL,H3110_DetailedDisplay,BL,3310_H3111,99
Truck,OUTLET BL,H3110_DetailedDisplay,BL,3310_H3111,100
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
Air2,INLET BL,H3112_DetailedDisplay,BL,3120_H3112,102
HDLDPECB1,INLET BL,H3112_DetailedDisplay,BL,3120_H3112,103
PurgeAir3,INLET BL,H3112_DetailedDisplay,BL,3120_H3112,104
DemineralisedWater2,INLET BL,H3112_DetailedDisplay,BL,3120_H3112,105
DRAIN13,OUTLET BL,H3112_DetailedDisplay,BL,3120_H3112,106
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
Bagging1,OUTLET BL,H3112_DetailedDisplay,BL,3310_H3112,112
Truck1,OUTLET BL,H3112_DetailedDisplay,BL,3310_H3112,113
Air3,INLET BL,H3113_DetailedDisplay,BL,3130_H3113,114
HDLDPECB2,INLET BL,H3113_DetailedDisplay,BL,3130_H3113,115
PurgeAir5,INLET BL,H3113_DetailedDisplay,BL,3130_H3113,116
DemineralisedWater3,INLET BL,H3113_DetailedDisplay,BL,3130_H3113,117
DRAIN14,OUTLET BL,H3113_DetailedDisplay,BL,3130_H3113,118
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
Bagging2,OUTLET BL,H3113_DetailedDisplay,BL,3310_H3113,124
Truck2,OUTLET BL,H3113_DetailedDisplay,BL,3310_H3113,125
Air4,INLET BL,H3121_DetailedDisplay,BL,3140_H3121,126
PurgeAir7,INLET BL,H3121_DetailedDisplay,BL,3140_H3121,127
HDLDPECB3,INLET BL,H3121_DetailedDisplay,BL,3140_H3121,128
DemineralisedWater4,INLET BL,H3121_DetailedDisplay,BL,3140_H3121,129
DRAIN15,OUTLET BL,H3121_DetailedDisplay,BL,3140_H3121,130
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
INSTRUMENTAIR2,OUTLET BL,H3121_DetailedDisplay,BL,3320_H3121,136
Bagging3,OUTLET BL,H3121_DetailedDisplay,BL,3320_H3121,137
Truck3,OUTLET BL,H3121_DetailedDisplay,BL,3320_H3121,138
Air5,INLET BL,H3122_DetailedDisplay,BL,3150_H3122,139
HDLDPECB4,INLET BL,H3122_DetailedDisplay,BL,3150_H3122,140
PurgeAir9,INLET BL,H3122_DetailedDisplay,BL,3150_H3122,141
DemineralisedWater5,INLET BL,H3122_DetailedDisplay,BL,3150_H3122,142
DRAIN16,OUTLET BL,H3122_DetailedDisplay,BL,3150_H3122,143
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
Bagging4,OUTLET BL,H3122_DetailedDisplay,BL,3320_H3122,149
Truck4,OUTLET BL,H3122_DetailedDisplay,BL,3320_H3122,150
Air6,INLET BL,H3122_DetailedDisplay,BL,3160_H3123,151
HDLDPECB5,INLET BL,H3122_DetailedDisplay,BL,3160_H3123,152
PurgeAir11,INLET BL,H3122_DetailedDisplay,BL,3160_H3123,153
DemineralisedWater6,INLET BL,H3122_DetailedDisplay,BL,3160_H3123,154
DRAIN17,OUTLET BL,H3122_DetailedDisplay,BL,3160_H3123,155
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
Bagging5,OUTLET BL,H3122_DetailedDisplay,BL,3320_H3123,161
Truck5,OUTLET BL,H3122_DetailedDisplay,BL,3320_H3123,162
IA_FR_3801_2,INLET BL,OverView Display,BL,1117,163
Ambient,INLET BL,OverView Display,BL,1117,164
ATMOSPHERER,OUTLET BL,OverView Display,BL,1117,165
WASTEFORDISPOSAL,OUTLET BL,OverView Display,BL,1117,166
IA_FR_3801_4,INLET BL,Train2_VentFilters_GE,BL,2117,167
Ambient1,INLET BL,Train2_VentFilters_GE,BL,2117,168
ATMOSPHERER1,OUTLET BL,Train2_VentFilters_GE,BL,2117,169
WASTEFORDISPOSAL1,OUTLET BL,Train2_VentFilters_GE,BL,2117,170
IA_FR_3801_5,INLET BL,Train3_VentFilters_GE,BL,3170,171
Ambient2,INLET BL,Train3_VentFilters_GE,BL,3170,172
ATMOSPHERER2,OUTLET BL,Train3_VentFilters_GE,BL,3170,173
WASTEFORDISPOSAL2,OUTLET BL,Train3_VentFilters_GE,BL,3170,174
IA_FR_3801,INLET BL,Train1&2_PurgeAir_GE,BL,1101A,175
IA_FR_ATM1,INLET BL,Train1&2_PurgeAir_GE,BL,1101A,176
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
BatteryLimit1,OUTLET BL,Train1&2_PurgeAir_GE,BL,1101B,180
UW_FR_DISTRIBUTION,INLET BL,815_WasteWaterSumps,BL,1801_SUM1801,181
ISBLTRENCH,INLET BL,815_WasteWaterSumps,BL,1801_SUM1801,182
DRAIN_TO_ATM,OUTLET BL,815_WasteWaterSumps,BL,1801_SUM1801,183
UW_TO_PUMP,OUTLET BL,815_WasteWaterSumps,BL,1801_SUM1801,184
WW_TO_9912,OUTLET BL,815_WasteWaterSumps,BL,1801_SUM1801,185
DRAIN18,OUTLET BL,815_WasteWaterSumps,BL,1801_SUM1801,186
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
UW_FR_3802,INLET BL,815_SanitarySumps_GE,BL,2700_SUM271001,190
SUM_TO_ATMOS,OUTLET BL,815_SanitarySumps_GE,BL,2700_SUM271001,191
SUM_TO_DRAIN,OUTLET BL,815_SanitarySumps_GE,BL,2700_SUM271001,192
SWW_TO_SUM2701,OUTLET BL,815_SanitarySumps_GE,BL,2700_SUM271001,193
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
UW_FR_9535,INLET BL,815_SanitarySumps_GE,BL,2702_SUM274001,196
SUM_TO_ATMOS1,OUTLET BL,815_SanitarySumps_GE,BL,2702_SUM274001,197
SUM_TO_DRAIN1,OUTLET BL,815_SanitarySumps_GE,BL,2702_SUM274001,198
SWW_TO_SUM2701_1,OUTLET BL,815_SanitarySumps_GE,BL,2702_SUM274001,199
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
UW_FR_2935,INLET BL,815_SanitarySumps_GE,BL,2703_SUM275001,202
SUM_TO_ATMOS2,OUTLET BL,815_SanitarySumps_GE,BL,2703_SUM275001,203
SUM_TO_DRAIN2,OUTLET BL,815_SanitarySumps_GE,BL,2703_SUM275001,204
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
PW_FR_2900,INLET BL,815_SanitarySumps_GE,BL,2704_SUM276101,207
WW_FR_BLDGT,INLET BL,815_SanitarySumps_GE,BL,2704_SUM276101,208
SUM_TO_ATMOS3,OUTLET BL,815_SanitarySumps_GE,BL,2704_SUM276101,209
SUM_TO_DRAIN3,OUTLET BL,815_SanitarySumps_GE,BL,2704_SUM276101,210
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
UW_FR_2935_1,INLET BL,815_WasteWaterSumps,BL,9901_SUM9901,213
UW_FR_DISTRIBUTION1,INLET BL,815_WasteWaterSumps,BL,9901_SUM9901,214
SUM_TO_ATMOS4,OUTLET BL,815_WasteWaterSumps,BL,9901_SUM9901,215
SUM_TO_DRAIN4,OUTLET BL,815_WasteWaterSumps,BL,9901_SUM9901,216
TRENCH,OUTLET BL,815_WasteWaterSumps,BL,9901_SUM9901,217
UW_TO_PUMP1,OUTLET BL,815_WasteWaterSumps,BL,9901_SUM9901,218
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
A_FOD815111101,HAND VALVE,H1111_DetailedDisplay,FOD,,
DemineralisedWater,INLET BL,Overview Display,BL,3113,221
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
A_FOD815111101,REGULATOR,H1111_DetailedDisplay,FOD,,
